genoName,genoStart,genoEnd,strand,repName,repClass,repFamily,repStart,repEnd
chr1,246874415,246874555,+,HERV1_I-int,LTR,ERV1,4095,4229
chr3,34679563,34679941,+,HERV1_I-int,LTR,ERV1,1,378
chr3,34679995,34686397,+,HERV1_I-int,LTR,ERV1,581,7076
chr3,34686400,34686535,+,HERV1_I-int,LTR,ERV1,8667,8801
chr3,121070539,121070658,-,HERV1_I-int,LTR,ERV1,0,8801
chr3,121070692,121077115,-,HERV1_I-int,LTR,ERV1,-1738,7063
chr4,114588733,114593390,-,HERV1_I-int,LTR,ERV1,-368,8433
chr4,114593415,114595404,-,HERV1_I-int,LTR,ERV1,-6257,2544
chr4,114595458,114595836,-,HERV1_I-int,LTR,ERV1,-8423,378
chr6,64326614,64335152,+,HERV1_I-int,LTR,ERV1,1,8800
chr6,137163367,137165682,+,HERV1_I-int,LTR,ERV1,1,2478
chr6,137165677,137165832,+,HERV1_I-int,LTR,ERV1,2905,3059
chr6,137165830,137170253,+,HERV1_I-int,LTR,ERV1,4300,8735
chr8,38082341,38087554,-,HERV1_I-int,LTR,ERV1,-2,8799
chr8,38087764,38090706,-,HERV1_I-int,LTR,ERV1,-5205,3596
chr8,38091008,38091567,-,HERV1_I-int,LTR,ERV1,-8135,666
chr9,33693100,33693542,-,HERV1_I-int,LTR,ERV1,-3922,4879
chrX,52568683,52571328,-,HERV1_I-int,LTR,ERV1,0,8801
chrX,52572399,52573552,-,HERV1_I-int,LTR,ERV1,-2705,6096
chrX,52573605,52577916,-,HERV1_I-int,LTR,ERV1,-2705,4932
chrX,52577968,52578337,-,HERV1_I-int,LTR,ERV1,-8427,374
chrY,13339213,13339578,+,HERV1_I-int,LTR,ERV1,2,379
chrY,13339638,13346814,+,HERV1_I-int,LTR,ERV1,587,7843
chrY,13346817,13347042,+,HERV1_I-int,LTR,ERV1,8578,8801
chrY,13435697,13436967,+,HERV1_I-int,LTR,ERV1,25,1284
chrY,13437004,13437894,+,HERV1_I-int,LTR,ERV1,1143,2017
chrY,13437874,13439226,+,HERV1_I-int,LTR,ERV1,3492,4836
chrY,13439259,13442506,+,HERV1_I-int,LTR,ERV1,5399,8717
chrY,15088694,15089878,-,HERV1_I-int,LTR,ERV1,-2,8799
chrY,15090182,15090863,-,HERV1_I-int,LTR,ERV1,-1183,7618
chrY,15090846,15091441,-,HERV1_I-int,LTR,ERV1,-2485,6316
chrY,15091750,15091977,-,HERV1_I-int,LTR,ERV1,-3060,5741
chrY,18996278,19000000,+,HERV1_I-int,LTR,ERV1,2073,5806
chrY,19000000,19002980,+,HERV1_I-int,LTR,ERV1,5807,8801
chrY,20790316,20790524,-,HERV1_I-int,LTR,ERV1,-3,8798
chrY,20794610,20799041,-,HERV1_I-int,LTR,ERV1,-4228,4573
chr10,38003016,38003423,-,HERV1_I-int,LTR,ERV1,-8393,408
chr10,42645584,42649060,+,HERV1_I-int,LTR,ERV1,9,3478
chr10,42649118,42654446,+,HERV1_I-int,LTR,ERV1,3479,8800
chr11,58770603,58771487,+,HERV1_I-int,LTR,ERV1,1,1021
chr11,58771483,58772697,+,HERV1_I-int,LTR,ERV1,1154,2359
chr11,58772704,58774468,+,HERV1_I-int,LTR,ERV1,3716,5480
chr11,58774468,58775825,+,HERV1_I-int,LTR,ERV1,5586,6990
chr11,58775825,58775914,+,HERV1_I-int,LTR,ERV1,7513,7602
chr11,58775910,58776849,+,HERV1_I-int,LTR,ERV1,7861,8801
chr13,47107813,47108252,-,HERV1_I-int,LTR,ERV1,-3781,5020
chr13,47108571,47108808,-,HERV1_I-int,LTR,ERV1,-4213,4588
chr13,47108783,47111401,-,HERV1_I-int,LTR,ERV1,-6022,2779
chr14,29648247,29648570,-,HERV1_I-int,LTR,ERV1,-3,8798
chr19,21603332,21604513,+,HERV1_I-int,LTR,ERV1,1,1221
chr21,14114317,14114718,+,HERV1_I-int,LTR,ERV1,1143,1544
chr21,14115532,14124308,+,HERV1_I-int,LTR,ERV1,1,8731
chr7_KI270803v1_alt,695904,696185,-,HERV1_I-int,LTR,ERV1,-3966,4835
chr1,173603280,173603791,+,HERV1_LTRa,LTR,ERV1,1,521
chr3,114865744,114865802,-,HERV1_LTRa,LTR,ERV1,-450,71
chr6,107991069,107991580,+,HERV1_LTRa,LTR,ERV1,1,521
chr7,43072461,43072988,-,HERV1_LTRa,LTR,ERV1,0,521
chr8,38081817,38082338,-,HERV1_LTRa,LTR,ERV1,0,521
chr8,38091567,38092093,-,HERV1_LTRa,LTR,ERV1,0,521
chrX,83605607,83605649,-,HERV1_LTRa,LTR,ERV1,-194,327
chr10,15027764,15028260,+,HERV1_LTRa,LTR,ERV1,1,521
chr10,38003425,38003944,-,HERV1_LTRa,LTR,ERV1,0,521
chr10,42645058,42645576,+,HERV1_LTRa,LTR,ERV1,1,521
chr10,42654446,42654969,+,HERV1_LTRa,LTR,ERV1,1,521
chr11,4658747,4659255,-,HERV1_LTRa,LTR,ERV1,0,521
chr12,123360261,123360325,-,HERV1_LTRa,LTR,ERV1,-284,237
chr13,40874680,40875043,+,HERV1_LTRa,LTR,ERV1,152,521
chr14,106877517,106878009,+,HERV1_LTRa,LTR,ERV1,1,521
chr15,40590597,40591145,-,HERV1_LTRa,LTR,ERV1,0,521
chr15,68984156,68984654,+,HERV1_LTRa,LTR,ERV1,1,521
chr15,81331048,81331558,-,HERV1_LTRa,LTR,ERV1,0,521
chr15,93162332,93162843,-,HERV1_LTRa,LTR,ERV1,0,521
chr15,93221556,93222068,-,HERV1_LTRa,LTR,ERV1,0,521
chr15,93344308,93344621,+,HERV1_LTRa,LTR,ERV1,1,319
chr15,93344908,93345111,+,HERV1_LTRa,LTR,ERV1,320,521
chr19,9429902,9430424,+,HERV1_LTRa,LTR,ERV1,1,521
chr19,23036003,23036516,-,HERV1_LTRa,LTR,ERV1,0,521
chr19,56356155,56356648,-,HERV1_LTRa,LTR,ERV1,0,521
chr21,14115009,14115532,+,HERV1_LTRa,LTR,ERV1,1,521
chr21,14124311,14124809,+,HERV1_LTRa,LTR,ERV1,1,521
chr6,64681685,64682152,-,HERV1_LTRb,LTR,ERV1,0,511
chr6,149778956,149779490,+,HERV1_LTRb,LTR,ERV1,1,511
chr7,92135482,92135990,+,HERV1_LTRb,LTR,ERV1,1,511
chrX,3690996,3691521,-,HERV1_LTRb,LTR,ERV1,0,511
chrX,27598267,27598796,+,HERV1_LTRb,LTR,ERV1,1,511
chrX,52568173,52568683,-,HERV1_LTRb,LTR,ERV1,0,511
chrX,52578337,52578848,-,HERV1_LTRb,LTR,ERV1,0,511
chrY,15087235,15087446,-,HERV1_LTRb,LTR,ERV1,0,511
chrY,15088383,15088691,-,HERV1_LTRb,LTR,ERV1,-202,309
chr11,83191980,83192491,+,HERV1_LTRb,LTR,ERV1,1,511
chr3,34679070,34679563,+,HERV1_LTRc,LTR,ERV1,1,491
chr3,34686535,34687025,+,HERV1_LTRc,LTR,ERV1,1,491
chr3,121070054,121070539,-,HERV1_LTRc,LTR,ERV1,0,491
chr3,121077252,121077279,-,HERV1_LTRc,LTR,ERV1,0,491
chr3,121079118,121079580,-,HERV1_LTRc,LTR,ERV1,-23,468
chr4,114588190,114588701,-,HERV1_LTRc,LTR,ERV1,0,491
chr4,114595836,114596330,-,HERV1_LTRc,LTR,ERV1,0,491
chr5,84483645,84483712,-,HERV1_LTRc,LTR,ERV1,-176,315
chr6,64326107,64326614,+,HERV1_LTRc,LTR,ERV1,1,491
chr6,64335152,64335672,+,HERV1_LTRc,LTR,ERV1,1,491
chr6,137162880,137163367,+,HERV1_LTRc,LTR,ERV1,1,491
chr6,137170253,137170725,+,HERV1_LTRc,LTR,ERV1,1,491
chr8,58235032,58235528,+,HERV1_LTRc,LTR,ERV1,1,491
chrX,55116583,55116998,+,HERV1_LTRc,LTR,ERV1,1,413
chrX,80173245,80173722,-,HERV1_LTRc,LTR,ERV1,0,491
chrY,13338697,13339212,+,HERV1_LTRc,LTR,ERV1,1,491
chrY,13347042,13347439,+,HERV1_LTRc,LTR,ERV1,1,368
chrY,13347734,13347858,+,HERV1_LTRc,LTR,ERV1,369,491
chrY,15720819,15721308,+,HERV1_LTRc,LTR,ERV1,2,491
chrY,19002980,19003479,+,HERV1_LTRc,LTR,ERV1,1,491
chr11,45823389,45823880,+,HERV1_LTRc,LTR,ERV1,1,491
chr11,58770116,58770603,+,HERV1_LTRc,LTR,ERV1,1,491
chr11,58776849,58777334,+,HERV1_LTRc,LTR,ERV1,1,491
chr11,114569746,114570249,+,HERV1_LTRc,LTR,ERV1,1,490
chr13,47111401,47111889,-,HERV1_LTRc,LTR,ERV1,0,491
chr15,38437900,38438392,-,HERV1_LTRc,LTR,ERV1,0,491
chr16,20760299,20760803,-,HERV1_LTRc,LTR,ERV1,0,491
chr16,47388689,47389168,+,HERV1_LTRc,LTR,ERV1,1,491
chr19,516167,516372,-,HERV1_LTRc,LTR,ERV1,0,491
chr19,516682,516981,-,HERV1_LTRc,LTR,ERV1,-204,287
chr19,40928789,40929279,-,HERV1_LTRc,LTR,ERV1,0,491
chr19,40992892,40993005,-,HERV1_LTRc,LTR,ERV1,-279,212
chr19,40995813,40996301,-,HERV1_LTRc,LTR,ERV1,0,491
chr22,44004309,44004809,+,HERV1_LTRc,LTR,ERV1,1,491
chr1,23887709,23888236,+,HERV1_LTRd,LTR,ERV1,1,535
chr2,184536359,184536873,-,HERV1_LTRd,LTR,ERV1,0,535
chr2,208615613,208616118,-,HERV1_LTRd,LTR,ERV1,-6,529
chr7,64605805,64606337,-,HERV1_LTRd,LTR,ERV1,-1,534
chr7,135171122,135171262,+,HERV1_LTRd,LTR,ERV1,3,153
chr7,135181466,135181997,+,HERV1_LTRd,LTR,ERV1,1,535
chr7,154676661,154677185,-,HERV1_LTRd,LTR,ERV1,-4,531
chr8,69719455,69719984,+,HERV1_LTRd,LTR,ERV1,1,535
chr9,71472411,71472906,-,HERV1_LTRd,LTR,ERV1,-4,531
chrY,7002568,7003102,-,HERV1_LTRd,LTR,ERV1,-3,532
chrY,20789796,20790315,-,HERV1_LTRd,LTR,ERV1,-4,531
chrY,20799064,20799174,-,HERV1_LTRd,LTR,ERV1,-7,528
chr11,67014960,67015120,+,HERV1_LTRd,LTR,ERV1,370,535
chr14,20799348,20799852,+,HERV1_LTRd,LTR,ERV1,1,528
chr19,21128747,21129271,+,HERV1_LTRd,LTR,ERV1,1,535
chr5,20997705,20998117,-,HERV1_LTRe,LTR,ERV1,0,537
chr5,28665949,28666346,+,HERV1_LTRe,LTR,ERV1,143,535
chr6,39993175,39993620,-,HERV1_LTRe,LTR,ERV1,0,537
chr6,39999035,39999455,-,HERV1_LTRe,LTR,ERV1,-1,536
chr8,23096637,23097015,-,HERV1_LTRe,LTR,ERV1,-4,533
chrY,7204486,7204875,+,HERV1_LTRe,LTR,ERV1,144,537
chrY,13435439,13435595,+,HERV1_LTRe,LTR,ERV1,309,463
chrY,13443302,13443587,+,HERV1_LTRe,LTR,ERV1,210,513
chrY,21240221,21240623,-,HERV1_LTRe,LTR,ERV1,0,537
